code,minutes,points_per_game,web_name,team_code,element_type,season
154561,3420,3.7,Raya,3,1,2025-26
109745,2790,3.4,Arrizabalaga,3,1,2025-26
463748,0,0.0,Hein,3,1,2025-26
551221,0,0.0,Setford,3,1,2025-26
226597,2363,4.2,Gabriel,3,2,2025-26
462424,3039,3.7,Saliba,3,2,2025-26
466075,978,2.1,Calafiori,3,2,2025-26
445122,2415,3.8,J.Timber,3,2,2025-26
440854,1117,2.5,Kiwior,3,2,2025-26
499169,1362,1.6,Lewis-Skelly,3,2,2025-26
198869,1195,2.9,White,3,2,2025-26
206325,518,2.7,Zinchenko,3,2,2025-26
563324,0,0.0,Clarke,3,2,2025-26
588793,0,0.0,Kacurri,3,2,2025-26
499167,0,0.0,Nichols,3,2,2025-26
223340,1724,5.1,Saka,3,3,2025-26
184029,2321,3.9,Ødegaard,3,3,2025-26
248857,2028,3.8,Madueke,3,3,2025-26
444145,2284,3.8,Martinelli,3,3,2025-26
116216,2546,4.0,Trossard,3,3,2025-26
204480,2823,3.6,Rice,3,3,2025-26
195384,1575,3.3,Merino,3,3,2025-26
438098,0,0.0,Fábio Vieira,3,3,2025-26
128295,2820,3.1,Nørgaard,3,3,2025-26
499175,882,2.5,Nwaneri,3,3,2025-26
481655,0,0.0,Zubimendi,3,3,2025-26
200641,483,2.2,Nelson,3,3,2025-26
588796,0,0.0,Kabia,3,3,2025-26
437742,0,0.0,Sambi,3,3,2025-26
219847,1872,4.2,Havertz,3,4,2025-26
205651,600,2.5,G.Jesus,3,4,2025-26
500040,0,0.0,Mosquera,3,2,2025-26
224117,0,0.0,Gyökeres,3,4,2025-26
98980,3195,3.0,Martinez,7,1,2025-26
72147,0,0.0,M.Bizot,7,1,2025-26
462492,0,0.0,Gauci,7,1,2025-26
462381,0,0.0,Marschall,7,1,2025-26
199796,2069,2.8,Cash,7,2,2025-26
101188,2348,2.8,Digne,7,2,2025-26
199798,2936,3.0,Konsa,7,2,2025-26
441302,1125,2.0,Maatsen,7,2,2025-26
149484,1119,3.4,Mings,7,2,2025-26
244954,2019,2.3,Pau,7,2,2025-26
606798,316,1.1,A.García,7,2,2025-26
106468,952,2.3,Alex Moreno,7,2,2025-26
515597,473,0.8,Bogarde,7,2,2025-26
514315,0,0.0,Sousa,7,2,2025-26
587178,0,0.0,Yasin,7,2,2025-26
244850,3115,4.4,Rogers,7,3,2025-26
166989,3025,3.4,Tielemans,7,3,2025-26
215711,1132,2.0,Bailey,7,3,2025-26
195546,89,0.9,Buendía,7,3,2025-26
469247,0,0.0,Iling Jr,7,3,2025-26
232653,1616,2.3,J.Ramsey,7,3,2025-26
204646,296,2.4,Malen,7,3,2025-26
122806,2217,2.3,McGinn,7,3,2025-26
88894,567,2.2,Barkley,7,3,2025-26
491287,0,0.0,Barrenechea,7,3,2025-26
461421,0,0.0,Dobbin,7,3,2025-26
226944,1720,2.2,Kamara,7,3,2025-26
449871,1613,2.5,Onana,7,3,2025-26
577731,0,0.0,Broggio,7,3,2025-26
151589,0,0.0,Dendoncker,7,3,2025-26
559962,0,0.0,Jimoh-Aloba,7,3,2025-26
537403,0,0.0,Young,7,3,2025-26
178301,2593,4.9,Watkins,7,4,2025-26
576756,0,0.0,Redmond,7,4,2025-26
518030,0,0.0,Weiss,90,1,2025-26
489571,0,0.0,Green,90,1,2025-26
51943,0,0.0,Hladký,90,1,2025-26
192290,0,0.0,Roberts,90,2,2025-26
58621,966,0.9,Walker,90,2,2025-26
247245,0,0.0,Delcroix,90,2,2025-26
461567,0,0.0,Dodgson,90,2,2025-26
478969,0,0.0,Ekdal,90,2,2025-26
477717,0,0.0,Estève,90,2,2025-26
494960,0,0.0,Hartman,90,2,2025-26
461188,0,0.0,Humphreys,90,2,2025-26
241231,0,0.0,Jordan,90,2,2025-26
549329,0,0.0,Lucas Pires,90,2,2025-26
450072,0,0.0,Sambo,90,2,2025-26
519895,0,0.0,Sonne,90,2,2025-26
180804,1710,1.2,Tuanzebe,90,2,2025-26
208912,0,0.0,Worrall,90,2,2025-26
444180,0,0.0,Anthony,90,3,2025-26
183751,0,0.0,Benson,90,3,2025-26
179458,0,0.0,Bruun Larsen,90,3,2025-26
578614,0,0.0,Boateng,90,3,2025-26
250735,0,0.0,Churlinov,90,3,2025-26
172567,0,0.0,Cullen,90,3,2025-26
174592,0,0.0,Edwards,90,3,2025-26
465527,0,0.0,Hannibal,90,3,2025-26
487702,0,0.0,Koleosho,90,3,2025-26
167887,0,0.0,Laurent,90,3,2025-26
469272,0,0.0,Tchaouna,90,3,2025-26
447715,0,0.0,A.Ramsey,90,3,2025-26
576323,0,0.0,Adewumi,90,3,2025-26
551206,0,0.0,Banel,90,3,2025-26
437748,0,0.0,Trésor,90,3,2025-26
431639,0,0.0,Flemming,90,4,2025-26
492831,0,0.0,Amdouni,90,4,2025-26
435973,0,0.0,Foster,90,4,2025-26
44699,0,0.0,Barnes,90,4,2025-26
220598,0,0.0,Obafemi,90,4,2025-26
67089,900,4.4,Dúbravka,90,1,2025-26
503714,0,0.0,Ugochukwu,90,3,2025-26
69752,180,3.5,Neto,91,1,2025-26
457569,0,0.0,Petrović,91,1,2025-26
444172,0,0.0,Dennis,91,1,2025-26
568791,0,0.0,McKenna,91,1,2025-26
495145,0,0.0,Paulsen,91,1,2025-26
477580,3109,2.6,Zabarnyi,91,2,2025-26
221466,1103,1.8,Senesi,91,2,2025-26
54469,1586,2.3,Smith,91,2,2025-26
494521,0,0.0,Truffert,91,2,2025-26
541462,0,0.0,Akinmboni,91,2,2025-26
518906,0,0.0,Bevan,91,2,2025-26
463981,443,1.7,Hill,91,2,2025-26
436893,492,1.0,J.Araujo,91,2,2025-26
223911,0,0.0,Mepham,91,2,2025-26
575901,9,1.0,Soler,91,2,2025-26
222683,2339,4.6,Kluivert,91,3,2025-26
437730,3202,4.5,Semenyo,91,3,2025-26
533463,1998,3.5,O.Dango,91,3,2025-26
201658,1932,3.0,Tavernier,91,3,2025-26
200785,1959,2.1,Adams,91,3,2025-26
111317,941,1.8,Brooks,91,3,2025-26
158499,2114,2.6,Christie,91,3,2025-26
155408,2976,2.3,Cook,91,3,2025-26
168991,176,1.0,Philip,91,3,2025-26
503139,745,1.3,Scott,91,3,2025-26
224995,229,1.9,Sinisterra,91,3,2025-26
441240,0,0.0,Faivre,91,3,2025-26
424044,0,0.0,H.Traorè,91,3,2025-26
550596,0,0.0,Sadi,91,3,2025-26
530121,1,1.0,Silcott-Duberry,91,3,2025-26
606775,22,1.0,Winterburn,91,3,2025-26
444102,2317,4.1,Evanilson,91,4,2025-26
168636,330,1.9,Enes Ünal,91,4,2025-26
590760,0,0.0,Adu-Adjei,91,4,2025-26
560262,0,0.0,Kroupi.Jr,91,4,2025-26
