ID,Min,PPG,Tot Pts,birth_date,Player Name,team_code,team_join_date,Position,season,New In League,New In Team,time_in_league,max_minutes_in_position_past_season,max_minutes_by_signing_past_season,avg_ppg_position_team_high_minutes,points_last_season,avg_points_last_2_seasons,avg_points_last_3_seasons,minutes_last_season,avg_minutes_last_2_seasons,avg_minutes_last_3_seasons,minutes_last_season_same_team,avg_minutes_last_2_seasons_same_team,avg_minutes_last_3_seasons_same_team
1243,0,0.0,0,,Green,38,,GK,2017-18,True,True,0,,,,,,,,,,,,
1616,0,0.0,0,,Manninger,14,,GK,2016-17,False,False,0,,,,,,,,,,,,
1632,2109,2.1,68,,Barry,11,,MID,2016-17,False,False,0,,,,,,,,,,,,
1632,1921,2.2,56,,Barry,35,,MID,2017-18,False,True,1,3231.0,,2.628571428571429,2.1,2.1,2.1,2109.0,2109.0,2109.0,,,
1718,496,2.3,21,,Terry,8,,DEF,2016-17,False,False,0,,,,,,,,,,,,
1801,270,1.7,5,,Robinson,90,,GK,2016-17,False,False,0,,,,,,,,,,,,
1801,0,0.0,0,,Robinson,90,,GK,2017-18,False,False,1,,,,1.7,1.7,1.7,270.0,270.0,270.0,270.0,270.0,270.0
1822,450,2.6,13,,Given,110,,GK,2016-17,False,False,0,,,,,,,,,,,,
2404,1601,1.8,42,,Carrick,1,,MID,2016-17,False,False,0,,,,,,,,,,,,
2404,108,2.0,4,,Carrick,1,,MID,2017-18,False,False,1,,,,1.8,1.8,1.8,1601.0,1601.0,1601.0,1601.0,1601.0,1601.0
2513,166,1.5,6,,Murphy,36,,MID,2017-18,True,True,0,,,,,,,,,,,,
3201,0,0.0,0,,Taylor,20,,GK,2016-17,False,False,0,,,,,,,,,,,,
3201,0,0.0,0,,Taylor,20,,GK,2017-18,False,False,1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3736,2158,1.7,47,,O'Shea,56,,DEF,2016-17,False,False,0,,,,,,,,,,,,
3773,1343,2.9,79,,Crouch,110,,FWD,2016-17,False,False,0,,,,,,,,,,,,
3773,1551,2.4,73,,Crouch,110,,FWD,2017-18,False,False,1,,,,2.9,2.9,2.9,1343.0,1343.0,1343.0,1343.0,1343.0,1343.0
3773,86,1.3,8,,Crouch,90,,FWD,2018-19,False,True,2,2150.0,,3.45,2.4,2.65,2.65,1551.0,1447.0,1447.0,,,
5288,0,0.0,0,,Tremmel,80,,GK,2016-17,False,False,0,,,,,,,,,,,,
5589,68,1.0,4,,Whitehead,38,,MID,2017-18,True,True,0,,,,,,,,,,,,
6744,2520,3.8,106,,Grant,110,,GK,2016-17,False,False,0,,,,,,,,,,,,
6744,270,1.7,5,,Grant,110,,GK,2017-18,False,False,1,,,,3.8,3.8,3.8,2520.0,2520.0,2520.0,2520.0,2520.0,2520.0
6744,0,0.0,0,,Grant,1,,GK,2018-19,False,True,2,3330.0,,4.6,1.7,2.75,2.75,270.0,1395.0,1395.0,,,
6744,0,0.0,0,,Grant,1,,GK,2019-20,False,False,3,,1039.0,,0.0,0.85,1.8333333333333333,0.0,135.0,930.0,0.0,0.0,0.0
6744,0,0.0,0,,Grant,1,,GK,2020-21,False,False,4,,3420.0,,0.0,0.0,0.5666666666666667,0.0,0.0,90.0,0.0,0.0,0.0
7525,802,1.0,15,,Pienaar,56,,MID,2016-17,False,False,0,,,,,,,,,,,,
7551,124,0.5,1,,Lescott,56,,DEF,2016-17,False,False,0,,,,,,,,,,,,
7638,0,0.0,0,,Hudson,38,,DEF,2017-18,True,True,0,,,,,,,,,,,,
7645,2251,3.9,104,,Jagielka,11,,DEF,2016-17,False,False,0,,,,,,,,,,,,
7645,2063,2.4,60,,Jagielka,11,,DEF,2017-18,False,False,1,,,,3.9,3.9,3.9,2251.0,2251.0,2251.0,2251.0,2251.0,2251.0
7645,329,3.1,22,,Jagielka,11,,DEF,2018-19,False,False,2,,3420.0,,2.4,3.15,3.15,2063.0,2157.0,2157.0,2063.0,2157.0,2157.0
7645,240,1.0,6,,Jagielka,49,,DEF,2019-20,False,True,3,,,,3.1,2.75,3.1333333333333333,329.0,1196.0,1547.6666666666667,,,
7645,524,0.5,5,,Jagielka,49,,DEF,2020-21,False,False,4,,3420.0,,1.0,2.05,2.1666666666666665,240.0,284.5,877.3333333333334,240.0,240.0,240.0
7906,2014,1.7,51,,Delaney,31,,DEF,2016-17,False,False,0,,,,,,,,,,,,
7906,95,0.5,1,,Delaney,31,,DEF,2017-18,False,False,1,,,,1.7,1.7,1.7,2014.0,2014.0,2014.0,2014.0,2014.0,2014.0
7958,3322,4.5,166,,Defoe,56,,FWD,2016-17,False,False,0,,,,,,,,,,,,
7958,1075,2.5,60,,Defoe,91,,FWD,2017-18,False,True,1,1458.0,,2.8,4.5,4.5,4.5,3322.0,3322.0,3322.0,,,
7958,22,1.0,4,,Defoe,91,,FWD,2018-19,False,False,2,,3420.0,,2.5,3.5,3.5,1075.0,2198.5,2198.5,1075.0,1075.0,1075.0
8380,1655,3.1,69,,Collins,21,,DEF,2016-17,False,False,0,,,,,,,,,,,,
8380,1049,2.8,36,,Collins,21,,DEF,2017-18,False,False,1,,,,3.1,3.1,3.1,1655.0,1655.0,1655.0,1655.0,1655.0,1655.0
8432,1080,3.4,41,,Reina,7,,GK,2019-20,True,True,0,,,,,,,,,,,,
9047,1957,2.4,56,,Johnson,110,,DEF,2016-17,False,False,0,,,,,,,,,,,,
9047,546,0.6,5,,Johnson,110,,DEF,2017-18,False,False,1,,,,2.4,2.4,2.4,1957.0,1957.0,1957.0,1957.0,1957.0,1957.0
9089,3420,3.0,113,,Foster,35,,GK,2016-17,False,False,0,,,,,,,,,,,,
9089,3330,3.3,123,,Foster,35,,GK,2017-18,False,False,1,,,,3.0,3.0,3.0,3420.0,3420.0,3420.0,3420.0,3420.0,3420.0
9089,3420,3.4,129,,Foster,57,,GK,2018-19,False,True,2,2128.0,,2.7,3.3,3.15,3.15,3330.0,3375.0,3375.0,,,
9089,3420,3.6,137,,Foster,57,,GK,2019-20,False,False,3,,3420.0,,3.4,3.3499999999999996,3.233333333333333,3420.0,3375.0,3390.0,3420.0,3420.0,3420.0
9089,2340,3.1,81,,Foster,57,,GK,2021-22,True,True,4,,,,3.6,3.5,3.4333333333333336,3420.0,3420.0,3390.0,3420.0,3420.0,3420.0
9110,283,2.7,24,,Maloney,88,,MID,2016-17,False,False,0,,,,,,,,,,,,
9808,2438,5.8,163,,Ibrahimovic,1,,FWD,2016-17,False,False,0,,,,,,,,,,,,
9808,102,1.0,5,,Ibrahimovic,1,,FWD,2017-18,False,False,1,,,,5.8,5.8,5.8,2438.0,2438.0,2438.0,2438.0,2438.0,2438.0
10318,1683,3.6,68,,Stekelenburg,11,,GK,2016-17,False,False,0,,,,,,,,,,,,
10318,0,0.0,0,,Stekelenburg,11,,GK,2017-18,False,False,1,,,,3.6,3.6,3.6,1683.0,1683.0,1683.0,1683.0,1683.0,1683.0
10318,0,0.0,0,,Stekelenburg,11,,GK,2018-19,False,False,2,,3420.0,,0.0,1.8,1.8,0.0,841.5,841.5,0.0,841.5,841.5
10318,0,0.0,0,,Stekelenburg,11,,GK,2019-20,False,False,3,,2964.0,,0.0,0.0,1.2,0.0,0.0,561.0,0.0,0.0,561.0
10460,710,2.2,28,,Leadbitter,25,,MID,2016-17,False,False,0,,,,,,,,,,,,
10589,0,0.0,0,,Brian Murphy,97,,GK,2018-19,True,True,0,,,,,,,,,,,,
11037,13,1.0,1,,Lambert,35,,FWD,2016-17,False,False,0,,,,,,,,,,,,
11334,3097,3.8,134,,Cech,3,,GK,2016-17,False,False,0,,,,,,,,,,,,
11334,3039,3.6,124,,Cech,3,,GK,2017-18,False,False,1,,,,3.8,3.8,3.8,3097.0,3097.0,3097.0,3097.0,3097.0,3097.0
11334,585,3.4,24,,Cech,3,,GK,2018-19,False,False,2,,2197.0,,3.6,3.7,3.7,3039.0,3068.0,3068.0,3039.0,3068.0,3068.0
11352,2014,3.4,84,,Bruno,36,,DEF,2017-18,True,True,0,,,,,,,,,,,,
11352,1131,3.3,46,,Bruno,36,,DEF,2018-19,False,False,1,,3420.0,,3.4,3.4,3.4,2014.0,2014.0,2014.0,2014.0,2014.0,2014.0
11467,2270,2.1,56,,Jones,56,,DEF,2016-17,False,False,0,,,,,,,,,,,,
11554,0,0.0,0,,Speroni,31,,GK,2016-17,False,False,0,,,,,,,,,,,,
11554,990,3.3,36,,Speroni,31,,GK,2017-18,False,False,1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11554,90,1.0,1,,Speroni,31,,GK,2018-19,False,False,2,,1871.0,,3.3,1.65,1.65,990.0,495.0,495.0,990.0,495.0,495.0
11735,0,0.0,0,,Sidwell,36,,MID,2017-18,True,True,0,,,,,,,,,,,,
11829,1917,2.7,74,,Routledge,80,,MID,2016-17,False,False,0,,,,,,,,,,,,
11829,420,1.1,17,,Routledge,80,,MID,2017-18,False,False,1,,,,2.7,2.7,2.7,1917.0,1917.0,1917.0,1917.0,1917.0,1917.0
11854,0,0.0,0,,Murphy,4,,FWD,2017-18,True,True,0,,,,,,,,,,,,
11948,0,0.0,0,,Lonergan,14,,GK,2019-20,True,True,0,3420.0,,4.6,,,,,,,,,
11948,0,0.0,0,,Lonergan,35,,GK,2020-21,False,True,1,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
11948,0,0.0,0,,Lonergan,11,,GK,2021-22,False,True,2,2742.0,,3.7,0.0,0.0,0.0,0.0,0.0,0.0,,,
11948,0,0.0,0,,Lonergan,11,,GK,2022-23,False,False,3,,2336.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11948,0,0.0,0,,Lonergan,11,,GK,2023-24,False,False,4,,3420.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11974,1980,3.9,86,,Jakupovic,88,,GK,2016-17,False,False,0,,,,,,,,,,,,
11974,180,2.0,4,,Jakupovic,13,,GK,2017-18,False,True,1,2666.0,,3.6,3.9,3.9,3.9,1980.0,1980.0,1980.0,,,
11974,0,0.0,0,,Jakupovic,13,,GK,2018-19,False,False,2,,3420.0,,2.0,2.95,2.95,180.0,1080.0,1080.0,180.0,180.0,180.0
11974,0,0.0,0,,Jakupovic,13,,GK,2019-20,False,False,3,,3123.0,,0.0,1.0,1.9666666666666668,0.0,90.0,720.0,0.0,90.0,90.0
11974,0,0.0,0,,Jakupovic,13,,GK,2021-22,True,True,4,3420.0,,3.4,0.0,0.0,0.6666666666666666,0.0,0.0,60.0,0.0,0.0,60.0
11974,0,0.0,0,,Jakupović,11,,GK,2022-23,False,True,5,3150.0,,3.3,0.0,0.0,0.0,0.0,0.0,0.0,,,
12002,2214,2.6,77,,Downing,25,,MID,2016-17,False,False,0,,,,,,,,,,,,
12086,0,0.0,0,,Myhill,35,,GK,2016-17,False,False,0,,,,,,,,,,,,
12086,90,1.0,1,,Myhill,35,,GK,2017-18,False,False,1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12150,2276,2.1,62,,Whelan,110,,MID,2016-17,False,False,0,,,,,,,,,,,,
12150,0,0.0,0,,Whelan,110,,MID,2017-18,False,False,1,,,,2.1,2.1,2.1,2276.0,2276.0,2276.0,2276.0,2276.0,2276.0
12390,0,0.0,0,,McGregor,88,,GK,2016-17,False,False,0,,,,,,,,,,,,
12413,2926,2.7,88,,Huth,13,,DEF,2016-17,False,False,0,,,,,,,,,,,,
12413,0,0.0,0,,Huth,13,,DEF,2017-18,False,False,1,,,,2.7,2.7,2.7,2926.0,2926.0,2926.0,2926.0,2926.0,2926.0
12496,2520,3.6,102,,Valdés,25,,GK,2016-17,False,False,0,,,,,,,,,,,,
