ID,Player Name,Position,HidPos,Team,Value,Status,Tot Pts,PPG,PPM,T6,G6,PPG6,Min,Goals,Assists,CS,GC,OG,PS,PM,Y,R,Saves,Bonus,BPS,Inf,Creat,Threat,ICT,Picked %,Picked Top 100 %,Picked Top 1000 %,Wk 47,Wk 46,Wk 45,Wk 44,Wk 43,Wk 42,Wk 41,Wk 40,Wk 39,Wk 29,Wk 28,Wk 27,Wk 26,Wk 25,Wk 24,Wk 23,Wk 22,Wk 21,Wk 20,Wk 19,Wk 18,Wk 17,Wk 16,Wk 15,Wk 14,Wk 13,Wk 12,Wk 11,Wk 10,Wk 9,Wk 8,Wk 7,Wk 6,Wk 5,Wk 4,Wk 3,Wk 2,Wk 1
542,Foulquier,DEF,2,Watford,3.9,n,1,0.3,0.26,0,0,0.0,57,0,0,0,6,0,0,0,0,0,0,0,12,8.0,1.0,0,1.0,0.2,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,-1.0,,,,,
583,Tanganga,DEF,2,Tottenham,3.9,a,17,2.8,4.36,0,0,0.0,525,0,0,2,7,0,0,0,1,0,0,0,100,134.4,17.2,20,17.1,1.3,1,2.8,,,,,,,,,,2.0,1.0,1.0,,6.0,,5.0,2.0,,,,,,,,,,,,,,,,,,,,,
543,Whiteman,GK,1,Tottenham,4.0,a,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.5,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,Gazzaniga,GK,1,Tottenham,4.1,a,58,3.2,14.15,0,0,0.0,1612,0,0,2,26,0,1,0,1,0,59,6,300,449.8,10.0,0,46.1,1.5,0,0.3,,,,,,,,,,,1.0,,,,,14.0,3.0,2.0,1.0,3.0,0.0,3.0,6.0,2.0,2.0,2.0,3.0,2.0,8.0,2.0,2.0,,2.0,,,,,
318,McCarthy,GK,1,Southampton,4.5,a,104,3.7,23.11,26,6,4.33,2520,0,0,7,35,0,1,0,0,0,79,8,491,652.0,10.0,0,66.0,3.9,13,10.1,2.0,7.0,2.0,1.0,3.0,11.0,2.0,2.0,6.0,12.0,2.0,7.0,2.0,1.0,6.0,1.0,3.0,8.0,2.0,7.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,,,,,,,,,,
611,Jack Robinson,DEF,2,Sheffield Utd,4.0,a,14,2.3,3.5,2,2,1.0,504,0,0,1,11,0,0,0,0,0,0,2,87,106.8,30.4,2,14.0,0.9,9,5.7,1.0,,,,,1.0,2.0,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,Lundstram,DEF,2,Sheffield Utd,4.6,a,144,4.2,31.3,10,4,2.5,2452,5,4,10,29,0,0,0,5,0,0,15,539,502.8,382.9,449,133.9,28.8,11,5.8,7.0,1.0,1.0,1.0,,,,1.0,5.0,12.0,,1.0,7.0,1.0,1.0,2.0,6.0,1.0,,2.0,6.0,11.0,2.0,1.0,2.0,3.0,2.0,21.0,2.0,6.0,5.0,2.0,12.0,2.0,1.0,0.0,14.0,3.0
296,Stearman,DEF,2,Sheffield Utd,3.9,u,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,1.9,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,Duda,MID,3,Norwich,4.4,u,24,2.4,5.45,2,1,2.0,723,0,1,3,9,0,0,0,0,0,0,0,131,115.8,261.6,105,48.3,0.1,0,0.0,,,,,,2.0,,2.0,1.0,2.0,3.0,1.0,2.0,3.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,
552,Famewo,DEF,2,Norwich,3.9,a,1,1.0,0.26,1,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0,0.0,0.1,0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,Pukki,STR,4,Norwich,6.4,a,139,3.9,21.72,8,5,1.6,2884,11,3,6,59,0,0,0,3,0,0,21,444,545.0,379.5,1202,211.8,11.4,0,0.0,2.0,,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,9.0,,2.0,2.0,1.0,2.0,9.0,2.0,8.0,8.0,5.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,12.0,2.0,11.0,17.0,7.0
573,Elliot,GK,1,Newcastle United,4.0,u,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.1,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,de Gea,GK,1,Man United,5.3,a,143,3.8,26.98,26,6,4.33,3420,0,0,13,36,0,0,0,2,0,95,8,630,695.0,0.0,0,69.2,11.5,7,3.7,7.0,2.0,8.0,2.0,6.0,1.0,6.0,6.0,2.0,9.0,3.0,6.0,6.0,7.0,1.0,1.0,7.0,1.0,6.0,2.0,1.0,3.0,2.0,3.0,1.0,2.0,2.0,3.0,2.0,3.0,2.0,4.0,2.0,9.0,2.0,1.0,2.0,10.0
222,Gündogan,MID,3,Man City,5.1,a,65,2.1,12.75,5,3,1.67,2012,2,1,7,28,0,0,1,7,0,0,4,382,408.4,592.3,374,137.5,1.2,0,0.1,1.0,,3.0,,1.0,,3.0,2.0,3.0,2.0,,3.0,1.0,0.0,,2.0,1.0,6.0,1.0,1.0,8.0,2.0,1.0,,1.0,0.0,2.0,1.0,8.0,3.0,1.0,2.0,,1.0,1.0,1.0,2.0,1.0
193,Chamberlain,MID,3,Liverpool,6.1,a,76,2.5,12.46,19,6,3.17,1475,4,1,8,12,1,0,0,1,0,0,2,268,300.0,298.2,406,99.9,0.6,0,0.0,5.0,6.0,2.0,1.0,2.0,3.0,-1.0,1.0,1.0,2.0,2.0,1.0,1.0,8.0,12.0,3.0,2.0,,,,,1.0,8.0,,3.0,3.0,1.0,1.0,,1.0,,1.0,,2.0,1.0,1.0,2.0,
383,Reid,DEF,2,West Ham,3.9,n,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,3.6,0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,Robertson,DEF,2,Liverpool,7.0,a,181,5.0,25.86,35,6,5.83,3111,2,12,13,31,0,0,0,2,0,0,20,847,845.8,980.2,389,221.7,18.1,19,21.8,5.0,5.0,6.0,9.0,5.0,5.0,0.0,9.0,,,1.0,4.0,9.0,6.0,7.0,6.0,6.0,12.0,6.0,7.0,,1.0,6.0,1.0,2.0,6.0,5.0,9.0,2.0,8.0,2.0,6.0,8.0,5.0,6.0,2.0,2.0,2.0
188,Origi,STR,4,Liverpool,5.1,a,65,2.3,12.75,12,4,3.0,699,4,3,2,12,0,0,0,1,0,0,8,230,201.8,128.8,222,55.0,2.4,0,0.6,8.0,1.0,1.0,,,2.0,1.0,,0.0,1.0,1.0,,,,6.0,1.0,1.0,1.0,1.0,1.0,,4.0,,13.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,12.0
59,Aké,DEF,2,Bournemouth,4.8,a,79,2.7,16.46,7,3,2.33,2503,2,2,4,46,0,0,0,2,0,0,6,499,691.2,92.7,326,111.0,6.0,0,0.0,,,,1.0,6.0,0.0,2.0,2.0,1.0,1.0,1.0,,1.0,9.0,2.0,2.0,1.0,,,,,,1.0,2.0,1.0,1.0,1.0,6.0,8.0,8.0,2.0,5.0,8.0,2.0,1.0,1.0,1.0,2.0
63,Adam Smith,DEF,2,Bournemouth,4.3,a,49,2.0,11.4,8,3,2.67,2055,0,1,4,40,0,0,0,7,0,0,3,309,309.6,183.0,97,58.8,0.4,0,0.0,2.0,,,,6.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,,,,,,,2.0,,1.0,1.0,12.0,6.0,5.0,,,,,1.0,1.0,2.0,1.0
29,Grealish,MID,3,Aston Villa,5.9,a,149,4.1,25.25,23,6,3.83,3233,8,7,7,63,0,0,1,8,0,0,19,601,826.6,1209.2,837,287.0,14.4,4,2.3,10.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,,1.0,6.0,2.0,2.0,10.0,1.0,13.0,1.0,6.0,8.0,0.0,6.0,2.0,9.0,6.0,,,1.0,13.0,7.0,2.0,6.0,2.0,1.0,3.0,6.0,2.0
