ID,Player Name,Position,HidPos,Team,Value,Status,Picked %,Picked Top 100 %,Picked Top 1000 %,Tot Pts,PPG,PPM,T6,G6,PPG6,Min,Goals,Assists,CS,GC,OG,PS,PM,Y,R,Saves,Bonus,BPS,Inf,Creat,Threat,ICT,Wk 38,Wk 37,Wk 36,Wk 35,Wk 34,Wk 33,Wk 32,Wk 31,Wk 30,Wk 29,Wk 28,Wk 27,Wk 26,Wk 25,Wk 24,Wk 23,Wk 22,Wk 21,Wk 20,Wk 19,Wk 18,Wk 17,Wk 16,Wk 15,Wk 14,Wk 13,Wk 12,Wk 11,Wk 10,Wk 9,Wk 8,Wk 7,Wk 6,Wk 5,Wk 4,Wk 3,Wk 2,Wk 1
43,Bree,DEF,2,Aston Villa,4.5,u,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502,Allan,MID,3,Everton,5.2,a,0.6,0,0.0,47,2.0,9.04,16,7,2.29,2050,0,0,7,30,0,0,0,6,0,0,0,290,351.4,220.7,42,61.6,2.0,3.0,2.0,5.0,2.0,2.0,2.0,,,,2.0,2.0,4.0,,,,,,,,,,,,,1.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,,2.0,2.0,3.0
72,Izquierdo,MID,3,B & H Albion,5.5,a,0.0,0,0.0,1,1.0,0.18,1,1,1.0,8,0,0,0,0,0,0,0,0,0,0,0,2,3.2,1.3,7,1.2,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Kovacic,MID,3,Chelsea,5.3,a,0.3,0,0.0,54,2.0,10.19,2,2,1.0,1809,0,1,9,26,0,0,0,4,0,0,0,332,331.6,379.1,144,85.4,1.0,1.0,,,,,,2.0,1.0,,,3.0,4.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,,1.0,,1.0,1.0,1.0,2.0,1.0,3.0,3.0,5.0,,,,1.0,1.0,2.0,
151,Lössl,GK,1,Everton,4.3,u,0.1,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,Hayden,MID,3,Newcastle United,4.6,a,0.0,0,0.0,40,1.7,8.7,0,0,0.0,1942,0,0,4,33,0,0,0,8,0,0,0,211,278.0,117.7,155,55.3,,,,,,,,,,1.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,,2.0,2.0,1.0,1.0,2.0,,,1.0,,1.0,,1.0,2.0,1.0,2.0,2.0
173,Le Marchand,DEF,2,Fulham,4.1,u,0.0,0,0.0,1,0.5,0.24,0,0,0.0,122,0,0,0,1,0,0,0,2,0,0,0,12,12.6,1.6,1,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,
174,Johansen,MID,3,Fulham,4.7,u,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,Knockaert,MID,3,Fulham,5.0,u,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,Hector,DEF,2,Fulham,4.1,a,0.1,0,0.0,0,0.0,0.0,0,0,0.0,262,0,0,0,10,0,0,0,2,0,0,0,32,40.8,11.3,18,6.9,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,0.0,0.0
