"ID","Player Name","Position","HidPos","Team","Value","Status","Picked %","PickedTop 100 %","PickedTop 1000 %","Tot Pts","PPG","PPM","T6","G6","PPG6","Min","Goals","Assists","CS","GC","OG","PS","PM","Y","R","Saves","Bonus","BPS","Inf","Creat","Threat","ICT"
"283","Salah","MID","3","Liverpool","13","a","0","0","0.1","265","7.6","20.38","0","0","0.00","2758","23","14","17","22","0","0","1","1","0","0","29","756","1241.0","875.9","2230","434.8"
"428","Son","MID","3","Tottenham","12","a","0","0","0.1","258","7.4","21.50","0","0","0.00","3009","23","10","18","30","0","0","0","2","0","0","27","819","1201.8","1051.5","1296","355.4"
"285","Alexander-Arnold","DEF","2","Liverpool","7.5","a","0","1","0.2","208","6.5","27.73","0","0","0.00","2853","2","12","18","22","0","0","0","2","0","0","32","864","865.2","1449.1","515","283.2"
"465","Bowen","MID","3","West Ham","8.5","a","0","0","0","206","5.7","24.24","0","0","0.00","2987","12","17","8","46","0","0","0","6","0","0","24","586","822.2","627.2","1223","267.4"
"306","Cancelo","DEF","2","Man City","7","a","0","1","0.4","201","5.6","28.71","0","0","0.00","3227","1","11","19","25","0","0","0","7","0","0","27","829","796.0","786.9","851","243.6"
"301","De Bruyne","MID","3","Man City","12","a","0","0","0","196","6.5","16.33","0","0","0.00","2196","15","8","13","22","0","0","0","2","0","0","33","732","1005.8","1222.0","880","311.0"
"427","Kane","STR","4","Tottenham","11.5","a","0","0","0","192","5.2","16.70","0","0","0.00","3231","17","11","14","40","0","0","0","5","0","0","23","684","1036.4","674.0","1798","350.4"
"284","Robertson","DEF","2","Liverpool","7","a","0","0","0.3","186","6.4","26.57","0","0","0.00","2537","3","11","17","20","0","0","0","5","1","0","23","770","708.2","900.7","372","198.3"
"280","Van Dijk","DEF","2","Liverpool","6.5","a","0","0","0.1","183","5.4","28.15","0","0","0.00","3060","3","3","21","21","0","0","0","3","0","0","13","803","726.4","150.3","455","133.1"
"261","Maddison","MID","3","Leicester City","8","a","0","0","0","181","5.2","22.63","0","0","0.00","2454","12","11","5","41","0","0","0","3","0","0","24","637","827.4","706.2","770","230.2"
"13","Saka","MID","3","Arsenal","8","a","0","0","0","179","4.7","22.38","0","0","0.00","2978","11","9","13","39","0","0","0","6","0","0","18","566","790.4","977.8","1434","320.0"
