"Code","Player Name","Position","HidPos","Team","Value","Status","Picked %","PickedTop 100 %","PickedTop 1000 %","Tot Pts","PPG","PPM","T6","G6","PPG6","Min","Goals","Assists","CS","GC","OG","PS","PM","Y","R","Saves","Bonus","BPS","Inf","Creat","Threat","ICT"
"223094","Haaland","STR","4","Man City","12.4","a","78.4","60","61.3","272","7.8","21.94","0","7","0.00","2767","36","9","13","26","0","0","0","5","0","0","40","1040","1390.0","371.0","1825","358.1"
"78830","Kane","STR","4","Tottenham","11.5","a","32.7","37","36.2","263","6.9","22.87","0","6","0.00","3406","30","9","11","62","0","0","1","6","0","0","48","1008","1256.6","744.8","1707","371.0"
"118748","Salah","MID","3","Liverpool","13.1","a","37.2","94","94.6","239","6.3","18.24","0","7","0.00","3290","19","13","13","45","0","0","2","2","0","0","23","651","1046.2","869.9","1620","353.7"
"184029","Ødegaard","MID","3","Arsenal","6.9","a","33.3","1","0.9","212","5.7","30.72","0","6","0.00","3132","15","8","13","38","0","0","0","4","0","0","30","813","960.0","1100.4","920","298.3"
"176297","Rashford","MID","3","Man United","7.2","a","37.8","15","11.9","205","5.9","28.47","0","6","0.00","2880","17","7","13","39","0","0","0","2","0","0","21","530","887.8","459.7","1427","277.6"
"223340","Saka","MID","3","Arsenal","8","d","25.6","19","18.6","202","5.3","25.25","0","6","0.00","3183","14","12","12","42","0","0","1","6","0","0","19","678","972.2","1091.8","1164","322.8"
"77794","Trippier","DEF","2","Newcastle United","6","a","62.4","17","22.3","198","5.2","33.00","0","7","0.00","3342","1","9","16","31","1","0","0","5","0","0","39","941","904.8","1818.5","117","284.3"
"444145","Martinelli","MID","3","Arsenal","6.5","i","26.3","78","76.4","198","5.5","30.46","0","4","0.00","2789","15","9","14","33","0","0","0","3","0","0","18","648","844.2","838.1","1300","298.1"
"61366","De Bruyne","MID","3","Man City","12.1","a","25.5","4","3.2","183","5.7","15.12","0","4","0.00","2413","7","18","10","23","0","0","0","1","0","0","26","742","897.8","1476.7","598","297.6"
"144485","Toney","STR","4","Brentford","7.1","s","18.2","1","1.5","182","5.5","25.63","0","3","0.00","2953","20","4","10","42","0","0","1","9","0","0","35","607","926.8","424.3","1240","258.7"
