"Id","Code","Player Name","Position","HidPos","Team","Value","Status","Picked %","PickedTop 100 %","PickedTop 1000 %","Tot Pts","PPG","PPM","T6","G6","PPG6","Min","Goals","Assists","CS","GC","OG","PS","PM","Y","R","Saves","Bonus","BPS","Inf","Creat","Threat","ICT","Wk 38","Wk 37","Wk 36","Wk 35","Wk 34","Wk 33","Wk 32","Wk 31","Wk 30","Wk 29","Wk 28","Wk 27","Wk 26","Wk 25","Wk 24","Wk 23","Wk 22","Wk 21","Wk 20","Wk 19","Wk 18","Wk 17","Wk 16","Wk 15","Wk 14","Wk 13","Wk 12","Wk 11","Wk 10","Wk 9","Wk 8","Wk 7","Wk 6","Wk 5","Wk 4","Wk 3","Wk 2","Wk 1"
"401","219168","Isak","STR","4","Newcastle United","9.4","a","49.4","98","97.8","211","6.2","22.45","21","5","4.20","2758","23","6","12","41","0","0","0","1","0","0","36","848","1043.0","573.1","1320","292.7","2","","2","9","6","2","11","2","8","","2","","13","2","2","13","2","16","7","7","8","17","11","8","11","1","2","11","9","6","2","","","2","1","9","2","5"
"351","223094","Haaland","STR","4","Man City","14.9","a","24","74","78.8","181","5.8","12.15","10","3","3.33","2736","22","3","10","38","0","0","1","2","0","0","26","795","946.0","359.4","1511","281.8","6","2","2","","","","","","","7","2","8","","5","6","12","6","2","13","8","0","2","2","7","5","2","2","5","2","6","2","2","2","9","13","17","17","7"
"201","172649","Henderson","GK","1","Crystal Palace","4.6","a","11.7","70","64.5","135","3.6","29.35","22","6","3.67","3420","0","0","11","51","0","1","0","3","0","104","8","466","853.6","30.0","4","88.6","2","1","6","3","","10","2","3","2","","10","2","6","2","6","1","6","7","2","2","7","0","2","1","7","2","7","2","2","8","3","3","1","9","1","4","1","2"
"311","169187","Alexander-Arnold","DEF","2","Liverpool","7.2","a","16.7","59","63.9","148","4.5","20.56","13","5","2.60","2362","3","7","12","25","0","0","0","5","0","0","13","603","723.8","833.7","268","182.4","1","","1","0","5","6","","","","","2","6","6","13","7","5","11","2","0","15","2","4","1","","6","8","","1","2","1","2","8","1","11","1","6","6","8"
"317","194634","Diogo J.","MID","3","Liverpool","7.2","a","2.6","57","63.8","87","3.3","12.08","5","5","1.00","1182","6","4","7","12","0","0","0","2","0","0","4","225","300.6","169.5","537","99.0","1","","1","1","1","1","1","2","7","","1","3","","8","1","","","7","1","6","1","1","8","","","","","","","","1","8","8","","1","3","6","8"
"17","223340","Saka","MID","3","Arsenal","10.4","a","20.2","68","62.1","127","5.1","12.21","10","6","1.67","1724","6","11","7","21","0","0","0","3","0","0","18","508","606.0","842.8","830","227.9","1","3","2","2","","2","1","1","8","","","","","","","","","","","","","1","3","2","3","18","13","2","2","9","","16","3","4","7","6","6","12"
"495","441164","Pedro Porro","DEF","2","Tottenham","5.2","a","16.5","58","56.9","98","3","18.85","4","3","1.33","2606","2","6","6","47","0","0","0","5","0","0","6","456","778.4","932.9","200","191.2","-1","","0","","","5","","1","0","","1","2","1","6","6","6","1","1","4","4","1","-1","6","3","1","2","14","4","1","2","2","1","5","2","2","1","6","9"
"181","213198","Nkunku","MID","3","Chelsea","5.7","a","2","59","55.4","60","2.2","10.53","0","0","0.00","904","3","2","2","16","0","0","0","2","0","0","5","190","230.2","204.9","339","77.1","","","","","","","1","1","","2","3","12","1","2","1","1","","","","2","1","1","1","1","13","1","1","1","","0","1","1","1","1","7","1","1","1"
"255","169528","Robinson","DEF","2","Fulham","4.7","a","15.2","42","46","106","2.9","22.55","5","4","1.25","3166","0","10","5","49","0","0","0","8","0","0","8","507","922.2","723.4","206","185.5","1","1","","2","","1","1","1","1","7","0","0","1","2","4","2","8","7","1","4","1","6","6","1","6","2","0","6","6","2","1","1","7","2","2","4","7","2"
"116","543158","Barco","DEF","2","B & H Albion","4","u","1.9","42","44.8","0","0","0.00","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
